"","cause_of_death","symptoms","counts"
"1","Malaria","abdominalProblem",52
"2","Malaria","breathingProblem",72
"3","Malaria","chestPain",43
"4","Malaria","convulsions",13
"5","Malaria","cough",84
"6","Malaria","fever",372
"7","Malaria","looseStools",16
"8","Malaria","lumps",1
"9","Malaria","oedema",2
"10","Malaria","paralysis",7
"11","Malaria","skinProblems",12
"12","Malaria","unconscious",43
"13","Malaria","urinaryProblem",11
"14","Malaria","vomit",111
"15","Malaria","weightLoss",130
"16","Malaria","yellowEyes",15
"17","Malaria","deaths",384
